Nation,Olympic,Gold,Silver,Bronze,event_count
Spain,tokyo-2020,3,8,6,36
San Marino,tokyo-2020,0,1,2,3
United States of America,tokyo-2020,39,41,33,43
Slovakia,tokyo-2020,1,2,1,12
Japan,tokyo-2020,27,13,17,46
Australia,tokyo-2020,17,7,21,40
People's Republic of China,tokyo-2020,38,32,18,41
Great Britain,tokyo-2020,22,21,22,35
ROC,tokyo-2020,20,28,22,38
Italy,tokyo-2020,10,10,20,38
Mexico,tokyo-2020,0,0,4,29
Egypt,tokyo-2020,1,1,4,23
Belarus,tokyo-2020,1,3,3,19
Islamic Republic of Iran,tokyo-2020,3,2,2,15
Switzerland,tokyo-2020,3,4,6,25
Norway,tokyo-2020,4,2,2,16
Serbia,tokyo-2020,3,1,5,15
Germany,tokyo-2020,10,11,16,36
Indonesia,tokyo-2020,1,1,3,5
Czech Republic,tokyo-2020,4,4,3,24
Mongolia,tokyo-2020,0,1,3,9
Puerto Rico,tokyo-2020,1,0,0,14
Poland,tokyo-2020,4,5,5,27
Republic of Korea,tokyo-2020,6,4,10,31
Uzbekistan,tokyo-2020,3,0,2,13
Malaysia,tokyo-2020,0,1,1,7
Slovenia,tokyo-2020,3,1,1,15
Hungary,tokyo-2020,6,7,7,24
Cuba,tokyo-2020,7,3,5,13
France,tokyo-2020,10,12,11,40
India,tokyo-2020,1,2,4,16
Denmark,tokyo-2020,3,4,4,19
Croatia,tokyo-2020,3,3,2,16
Ukraine,tokyo-2020,1,6,12,26
Oman,tokyo-2020,0,0,0,2
Argentina,tokyo-2020,0,1,2,28
Turkey,tokyo-2020,2,2,9,17
Kazakhstan,tokyo-2020,0,0,8,23
Venezuela,tokyo-2020,1,3,0,15
Lithuania,tokyo-2020,0,1,0,12
Estonia,tokyo-2020,1,0,1,14
Colombia,tokyo-2020,0,4,1,18
Azerbaijan,tokyo-2020,0,3,4,10
Peru,tokyo-2020,0,0,0,15
Pakistan,tokyo-2020,0,0,0,5
Thailand,tokyo-2020,1,0,1,14
Israel,tokyo-2020,2,0,2,19
Philippines,tokyo-2020,1,2,1,10
Austria,tokyo-2020,1,1,5,23
Chinese Taipei,tokyo-2020,2,4,6,16
Bangladesh,tokyo-2020,0,0,0,2
Afghanistan,tokyo-2020,0,0,0,2
Kosovo,tokyo-2020,2,0,0,4
Romania,tokyo-2020,1,3,0,17
Singapore,tokyo-2020,0,0,0,9
Belgium,tokyo-2020,3,1,3,25
Bhutan,tokyo-2020,0,0,0,3
Algeria,tokyo-2020,0,0,0,13
Sri Lanka,tokyo-2020,0,0,0,4
Kyrgyzstan,tokyo-2020,0,2,1,6
Bosnia and Herzegovina,tokyo-2020,0,0,0,4
Nepal,tokyo-2020,0,0,0,2
Refugee Olympic Team,tokyo-2020,0,0,0,11
Ireland,tokyo-2020,2,0,2,20
Portugal,tokyo-2020,1,1,2,19
Qatar,tokyo-2020,2,0,1,6
Kuwait,tokyo-2020,0,0,1,3
Cyprus,tokyo-2020,0,0,0,3
Morocco,tokyo-2020,1,0,0,16
Bahrain,tokyo-2020,0,1,0,4
Senegal,tokyo-2020,0,0,0,6
New Zealand,tokyo-2020,7,6,7,25
Chile,tokyo-2020,0,0,0,20
Guatemala,tokyo-2020,0,0,0,10
Lebanon,tokyo-2020,0,0,0,3
Finland,tokyo-2020,0,0,2,11
Bulgaria,tokyo-2020,3,1,2,12
Iraq,tokyo-2020,0,0,0,2
Ecuador,tokyo-2020,2,1,0,16
Greece,tokyo-2020,2,1,1,20
Albania,tokyo-2020,0,0,0,4
Latvia,tokyo-2020,1,0,1,14
Jordan,tokyo-2020,0,1,1,6
Yemen,tokyo-2020,0,0,0,2
Tunisia,tokyo-2020,1,1,0,16
Georgia,tokyo-2020,2,5,1,8
Montenegro,tokyo-2020,0,0,0,6
Armenia,tokyo-2020,0,2,2,6
Malta,tokyo-2020,0,0,0,3
Canada,tokyo-2020,7,6,11,40
Republic of Moldova,tokyo-2020,0,0,1,7
Brazil,tokyo-2020,6,6,8,32
North Macedonia,tokyo-2020,0,1,0,5
Aruba,tokyo-2020,0,0,0,1
Myanmar,tokyo-2020,0,0,0,2
Vietnam,tokyo-2020,0,0,0,8
Nicaragua,tokyo-2020,0,0,0,4
Iceland,tokyo-2020,0,0,0,1
Saudi Arabia,tokyo-2020,0,1,0,7
Sweden,tokyo-2020,3,6,0,22
United Arab Emirates,tokyo-2020,0,0,0,2
Jamaica,tokyo-2020,4,1,4,4
Dominican Republic,tokyo-2020,0,3,2,10
Netherlands,tokyo-2020,10,12,14,31
South Africa,tokyo-2020,1,2,0,22
Nigeria,tokyo-2020,0,1,1,8
Sao Tome and Principe,tokyo-2020,0,0,0,1
Samoa,tokyo-2020,0,0,0,4
Cook Islands,tokyo-2020,0,0,0,2
Mozambique,tokyo-2020,0,0,0,4
Belize,tokyo-2020,0,0,0,1
Ethiopia,tokyo-2020,1,1,2,3
Eritrea,tokyo-2020,0,0,0,2
Trinidad and Tobago,tokyo-2020,0,0,0,7
Luxembourg,tokyo-2020,0,0,0,6
Costa Rica,tokyo-2020,0,0,0,6
Paraguay,tokyo-2020,0,0,0,5
Namibia,tokyo-2020,0,1,0,6
"Hong Kong, China",tokyo-2020,1,2,3,14
Rwanda,tokyo-2020,0,0,0,2
Burkina Faso,tokyo-2020,0,0,1,4
Panama,tokyo-2020,0,0,0,4
Zambia,tokyo-2020,0,0,0,3
Côte d'Ivoire,tokyo-2020,0,0,1,5
Honduras,tokyo-2020,0,0,0,4
Mauritius,tokyo-2020,0,0,0,4
Eswatini,tokyo-2020,0,0,0,1
Uganda,tokyo-2020,2,1,1,3
Cameroon,tokyo-2020,0,0,0,5
Haiti,tokyo-2020,0,0,0,3
Democratic Republic of the Congo,tokyo-2020,0,0,0,3
Tajikistan,tokyo-2020,0,0,0,2
Ghana,tokyo-2020,0,0,1,4
Kenya,tokyo-2020,4,4,2,6
Guyana,tokyo-2020,0,0,0,2
Burundi,tokyo-2020,0,0,0,2
Botswana,tokyo-2020,0,0,1,2
Cape Verde,tokyo-2020,0,0,0,2
Somalia,tokyo-2020,0,0,0,1
El Salvador,tokyo-2020,0,0,0,2
Antigua and Barbuda,tokyo-2020,0,0,0,2
Papua New Guinea,tokyo-2020,0,0,0,3
Liechtenstein,tokyo-2020,0,0,0,2
Angola,tokyo-2020,0,0,0,3
Fiji,tokyo-2020,1,0,1,4
Bermuda,tokyo-2020,1,0,0,2
Syrian Arab Republic,tokyo-2020,0,0,1,4
Vanuatu,tokyo-2020,0,0,0,3
Togo,tokyo-2020,0,0,0,2
Monaco,tokyo-2020,0,0,0,3
Andorra,tokyo-2020,0,0,0,1
Mali,tokyo-2020,0,0,0,1
Gabon,tokyo-2020,0,0,0,2
Niger,tokyo-2020,0,0,0,2
Tonga,tokyo-2020,0,0,0,2
Suriname,tokyo-2020,0,0,0,2
Maldives,tokyo-2020,0,0,0,1
Guinea-Bissau,tokyo-2020,0,0,0,2
Guam,tokyo-2020,0,0,0,2
Guinea,tokyo-2020,0,0,0,2
Bolivia,tokyo-2020,0,0,0,2
Zimbabwe,tokyo-2020,0,0,0,2
Chad,tokyo-2020,0,0,0,2
Kiribati,tokyo-2020,0,0,0,2
Comoros,tokyo-2020,0,0,0,1
Uruguay,tokyo-2020,0,0,0,3
Sierra Leone,tokyo-2020,0,0,0,1
Palestine,tokyo-2020,0,0,0,2
Sudan,tokyo-2020,0,0,0,2
Djibouti,tokyo-2020,0,0,0,1
Gambia,tokyo-2020,0,0,0,1
Malawi,tokyo-2020,0,0,0,2
Libya,tokyo-2020,0,0,0,2
Benin,tokyo-2020,0,0,0,3
Seychelles,tokyo-2020,0,0,0,2
Lao People's Democratic Republic,tokyo-2020,0,0,0,1
Madagascar,tokyo-2020,0,0,0,2
Turkmenistan,tokyo-2020,0,1,0,2
"Virgin Islands, US",tokyo-2020,0,0,0,1
Solomon Islands,tokyo-2020,0,0,0,2
Nauru,tokyo-2020,0,0,0,1
American Samoa,tokyo-2020,0,0,0,2
"Virgin Islands, British",tokyo-2020,0,0,0,1
Lesotho,tokyo-2020,0,0,0,1
United Republic of Tanzania,tokyo-2020,0,0,0,1
Liberia,tokyo-2020,0,0,0,1
Bahamas,tokyo-2020,2,0,0,1
Dominica,tokyo-2020,0,0,0,1
Grenada,tokyo-2020,0,0,1,1
Saint Lucia,tokyo-2020,0,0,0,1
Great Britain,pyeongchang-2018,1,0,4,11
Germany,pyeongchang-2018,14,10,7,14
Austria,pyeongchang-2018,5,3,6,11
Latvia,pyeongchang-2018,0,0,1,9
Netherlands,pyeongchang-2018,8,6,6,4
Canada,pyeongchang-2018,11,8,10,14
Switzerland,pyeongchang-2018,5,6,4,14
United States of America,pyeongchang-2018,9,8,6,15
Belgium,pyeongchang-2018,0,1,0,9
Republic of Korea,pyeongchang-2018,5,8,4,15
Australia,pyeongchang-2018,0,2,1,10
Romania,pyeongchang-2018,0,0,0,8
Japan,pyeongchang-2018,4,5,4,13
Nigeria,pyeongchang-2018,0,0,0,2
Olympic Athletes from Russia,pyeongchang-2018,2,6,9,15
Ukraine,pyeongchang-2018,1,0,0,8
People's Republic of China,pyeongchang-2018,1,6,2,12
New Zealand,pyeongchang-2018,0,0,2,5
Norway,pyeongchang-2018,14,14,11,11
Spain,pyeongchang-2018,0,0,2,5
Italy,pyeongchang-2018,3,2,5,14
Israel,pyeongchang-2018,0,0,0,4
Jamaica,pyeongchang-2018,0,0,0,2
Ghana,pyeongchang-2018,0,0,0,1
France,pyeongchang-2018,5,4,6,11
Sweden,pyeongchang-2018,7,6,1,8
Poland,pyeongchang-2018,1,0,1,11
Estonia,pyeongchang-2018,0,0,0,6
Belarus,pyeongchang-2018,2,1,0,6
Czech Republic,pyeongchang-2018,2,2,3,13
Finland,pyeongchang-2018,1,1,4,11
Colombia,pyeongchang-2018,0,0,0,3
Kazakhstan,pyeongchang-2018,0,0,1,9
Chinese Taipei,pyeongchang-2018,0,0,0,2
Hungary,pyeongchang-2018,1,0,0,6
Denmark,pyeongchang-2018,0,0,0,5
Slovenia,pyeongchang-2018,0,1,1,9
Bulgaria,pyeongchang-2018,0,0,0,6
Lithuania,pyeongchang-2018,0,0,0,3
Slovakia,pyeongchang-2018,1,2,0,7
Argentina,pyeongchang-2018,0,0,0,4
Andorra,pyeongchang-2018,0,0,0,3
Brazil,pyeongchang-2018,0,0,0,5
Ireland,pyeongchang-2018,0,0,0,4
Chile,pyeongchang-2018,0,0,0,3
Mexico,pyeongchang-2018,0,0,0,3
Turkey,pyeongchang-2018,0,0,0,4
Democratic People's Republic of Korea,pyeongchang-2018,0,0,0,4
Uzbekistan,pyeongchang-2018,0,0,0,2
Georgia,pyeongchang-2018,0,0,0,3
Singapore,pyeongchang-2018,0,0,0,1
Serbia,pyeongchang-2018,0,0,0,2
Bosnia and Herzegovina,pyeongchang-2018,0,0,0,2
Monaco,pyeongchang-2018,0,0,0,2
Croatia,pyeongchang-2018,0,0,0,4
Kosovo,pyeongchang-2018,0,0,0,1
Liechtenstein,pyeongchang-2018,0,0,1,2
Bolivia,pyeongchang-2018,0,0,0,2
Republic of Moldova,pyeongchang-2018,0,0,0,2
Greece,pyeongchang-2018,0,0,0,2
Albania,pyeongchang-2018,0,0,0,1
Morocco,pyeongchang-2018,0,0,0,2
Islamic Republic of Iran,pyeongchang-2018,0,0,0,2
Eritrea,pyeongchang-2018,0,0,0,1
Luxembourg,pyeongchang-2018,0,0,0,1
Kyrgyzstan,pyeongchang-2018,0,0,0,2
Montenegro,pyeongchang-2018,0,0,0,2
San Marino,pyeongchang-2018,0,0,0,1
Portugal,pyeongchang-2018,0,0,0,2
Malaysia,pyeongchang-2018,0,0,0,1
Philippines,pyeongchang-2018,0,0,0,1
Lebanon,pyeongchang-2018,0,0,0,2
Pakistan,pyeongchang-2018,0,0,0,2
Puerto Rico,pyeongchang-2018,0,0,0,1
Iceland,pyeongchang-2018,0,0,0,2
The Former Yugoslav Republic of Macedonia,pyeongchang-2018,0,0,0,2
Thailand,pyeongchang-2018,0,0,0,2
Cyprus,pyeongchang-2018,0,0,0,1
South Africa,pyeongchang-2018,0,0,0,1
Armenia,pyeongchang-2018,0,0,0,2
Azerbaijan,pyeongchang-2018,0,0,0,1
Democratic Republic of Timor-Leste,pyeongchang-2018,0,0,0,1
Madagascar,pyeongchang-2018,0,0,0,1
Malta,pyeongchang-2018,0,0,0,1
"Hong Kong, China",pyeongchang-2018,0,0,0,1
Kenya,pyeongchang-2018,0,0,0,1
India,pyeongchang-2018,0,0,0,2
Korea Team,pyeongchang-2018,0,0,0,1
Mongolia,pyeongchang-2018,0,0,0,1
Bermuda,pyeongchang-2018,0,0,0,1
Ecuador,pyeongchang-2018,0,0,0,1
Tonga,pyeongchang-2018,0,0,0,1
Togo,pyeongchang-2018,0,0,0,1
Colombia,rio-2016,3,2,3,24
United States of America,rio-2016,46,37,38,39
Venezuela,rio-2016,0,2,1,22
Russian Federation,rio-2016,19,17,20,35
Belgium,rio-2016,2,2,2,24
Netherlands,rio-2016,8,7,4,29
France,rio-2016,10,18,14,38
Australia,rio-2016,8,11,10,36
Argentina,rio-2016,3,1,0,28
Thailand,rio-2016,2,2,2,16
Denmark,rio-2016,2,6,7,19
Germany,rio-2016,17,10,15,35
Brazil,rio-2016,7,6,6,40
Canada,rio-2016,4,3,15,38
New Zealand,rio-2016,4,9,5,25
Switzerland,rio-2016,3,2,2,23
Latvia,rio-2016,0,0,0,13
South Africa,rio-2016,2,6,2,17
Norway,rio-2016,0,0,4,14
Great Britain,rio-2016,27,23,17,33
Indonesia,rio-2016,1,2,0,6
Japan,rio-2016,12,8,21,38
Ecuador,rio-2016,0,0,0,14
Sweden,rio-2016,2,6,3,25
Spain,rio-2016,7,4,6,33
Austria,rio-2016,0,0,1,23
Republic of Korea,rio-2016,9,3,9,26
Ireland,rio-2016,0,2,0,16
Paraguay,rio-2016,0,0,0,7
Finland,rio-2016,0,0,1,16
Italy,rio-2016,8,12,8,32
People's Republic of China,rio-2016,26,18,26,35
Chinese Taipei,rio-2016,1,0,2,18
Mexico,rio-2016,0,3,2,28
Chile,rio-2016,0,0,0,16
Malaysia,rio-2016,0,4,1,10
Portugal,rio-2016,0,0,1,18
India,rio-2016,0,1,1,15
Philippines,rio-2016,0,1,0,8
Bangladesh,rio-2016,0,0,0,4
Israel,rio-2016,0,0,2,16
"Hong Kong, China",rio-2016,0,0,0,11
Czech Republic,rio-2016,1,2,7,23
Morocco,rio-2016,0,0,1,13
Serbia,rio-2016,2,4,2,15
Croatia,rio-2016,5,3,2,18
Lithuania,rio-2016,0,1,3,15
Nigeria,rio-2016,0,0,1,10
Turkey,rio-2016,1,3,4,20
Belarus,rio-2016,1,4,4,22
Senegal,rio-2016,0,0,0,7
Fiji,rio-2016,1,0,0,9
Kenya,rio-2016,6,6,1,7
Bulgaria,rio-2016,0,1,2,15
Ukraine,rio-2016,2,5,4,27
Uzbekistan,rio-2016,4,2,7,14
Greece,rio-2016,3,1,2,19
Azerbaijan,rio-2016,1,7,10,17
Kazakhstan,rio-2016,3,5,10,21
Georgia,rio-2016,2,1,4,12
Romania,rio-2016,1,1,2,15
Cape Verde,rio-2016,0,0,0,3
Hungary,rio-2016,8,3,4,19
Tunisia,rio-2016,0,0,3,18
Estonia,rio-2016,0,0,1,13
Ivory Coast,rio-2016,1,0,1,6
Vietnam,rio-2016,1,1,0,9
Egypt,rio-2016,0,0,3,22
Algeria,rio-2016,0,2,0,12
Poland,rio-2016,2,3,6,27
Panama,rio-2016,0,0,0,6
Lebanon,rio-2016,0,0,0,7
Saudi Arabia,rio-2016,0,0,0,5
Islamic Republic of Iran,rio-2016,3,1,4,15
Benin,rio-2016,0,0,0,3
Cuba,rio-2016,5,2,4,20
Independent Olympic Athletes,rio-2016,1,0,1,3
Zimbabwe,rio-2016,0,0,0,7
Honduras,rio-2016,0,0,0,6
Iraq,rio-2016,0,0,0,5
Guatemala,rio-2016,0,0,0,9
Qatar,rio-2016,0,1,0,10
Uruguay,rio-2016,0,0,0,8
Peru,rio-2016,0,0,0,10
Democratic People's Republic of Korea,rio-2016,2,3,2,9
Mongolia,rio-2016,0,1,1,9
Singapore,rio-2016,1,0,0,7
Malta,rio-2016,0,0,0,3
Pakistan,rio-2016,0,0,0,3
Slovakia,rio-2016,2,2,0,14
Myanmar,rio-2016,0,0,0,4
Bolivia,rio-2016,0,0,0,5
Oman,rio-2016,0,0,0,1
United Arab Emirates,rio-2016,0,0,1,6
El Salvador,rio-2016,0,0,0,6
Namibia,rio-2016,0,0,0,5
San Marino,rio-2016,0,0,0,1
Slovenia,rio-2016,1,2,1,14
Bosnia and Herzegovina,rio-2016,0,0,0,5
The Former Yugoslav Republic of Macedonia,rio-2016,0,0,0,3
Puerto Rico,rio-2016,1,0,0,15
Bhutan,rio-2016,0,0,0,2
Kosovo,rio-2016,1,0,0,4
Andorra,rio-2016,0,0,0,3
Cyprus,rio-2016,0,0,0,6
Barbados,rio-2016,0,0,0,5
Nicaragua,rio-2016,0,0,0,3
Armenia,rio-2016,1,3,0,7
Sri Lanka,rio-2016,0,0,0,6
Dominican Republic,rio-2016,0,0,1,10
Angola,rio-2016,0,0,0,6
Bahrain,rio-2016,1,1,0,4
Trinidad and Tobago,rio-2016,0,0,1,7
Tajikistan,rio-2016,1,0,0,4
Republic of Moldova,rio-2016,0,0,0,9
Ethiopia,rio-2016,1,2,5,3
Syrian Arab Republic,rio-2016,0,0,0,5
Bahamas,rio-2016,1,0,1,3
Jamaica,rio-2016,6,3,2,2
Kyrgyzstan,rio-2016,0,0,0,6
Palestine,rio-2016,0,0,0,4
Uganda,rio-2016,0,0,0,3
Eritrea,rio-2016,0,0,0,2
Malawi,rio-2016,0,0,0,3
United Republic of Tanzania,rio-2016,0,0,0,3
Rwanda,rio-2016,0,0,0,4
Cambodia,rio-2016,0,0,0,4
Montenegro,rio-2016,0,0,0,7
Grenada,rio-2016,0,1,0,2
Equatorial Guinea,rio-2016,0,0,0,1
Djibouti,rio-2016,0,0,0,3
Burundi,rio-2016,0,1,0,3
Cameroon,rio-2016,0,0,0,6
Antigua and Barbuda,rio-2016,0,0,0,2
Congo,rio-2016,0,0,0,5
Libya,rio-2016,0,0,0,6
South Sudan,rio-2016,0,0,0,1
Refugee Olympic Athletes,rio-2016,0,0,0,3
Zambia,rio-2016,0,0,0,4
Lesotho,rio-2016,0,0,0,3
Mauritius,rio-2016,0,0,0,7
Democratic Republic of the Congo,rio-2016,0,0,0,3
Jordan,rio-2016,1,0,0,6
Botswana,rio-2016,0,0,0,3
Guyana,rio-2016,0,0,0,2
Saint Lucia,rio-2016,0,0,0,3
Costa Rica,rio-2016,0,0,0,6
Samoa,rio-2016,0,0,0,4
Madagascar,rio-2016,0,0,0,3
Kiribati,rio-2016,0,0,0,1
Nauru,rio-2016,0,0,0,2
Albania,rio-2016,0,0,0,2
Ghana,rio-2016,0,0,0,4
Papua New Guinea,rio-2016,0,0,0,5
Seychelles,rio-2016,0,0,0,5
Haiti,rio-2016,0,0,0,6
Turkmenistan,rio-2016,0,0,0,4
American Samoa,rio-2016,0,0,0,2
Cook Islands,rio-2016,0,0,0,4
Marshall Islands,rio-2016,0,0,0,2
Solomon Islands,rio-2016,0,0,0,1
Palau,rio-2016,0,0,0,3
Mozambique,rio-2016,0,0,0,3
Sao Tome and Principe,rio-2016,0,0,0,1
Vanuatu,rio-2016,0,0,0,4
Bermuda,rio-2016,0,0,0,4
Togo,rio-2016,0,0,0,2
Democratic Republic of Timor-Leste,rio-2016,0,0,0,1
Guam,rio-2016,0,0,0,2
Nepal,rio-2016,0,0,0,4
Tonga,rio-2016,0,0,0,3
US Virgin Islands,rio-2016,0,0,0,3
Federated States of Micronesia,rio-2016,0,0,0,2
Central African Republic,rio-2016,0,0,0,3
Guinea-Bissau,rio-2016,0,0,0,2
Aruba,rio-2016,0,0,0,4
Cayman Islands,rio-2016,0,0,0,2
Luxembourg,rio-2016,0,0,0,4
Lao People's Democratic Republic,rio-2016,0,0,0,3
Suriname,rio-2016,0,0,0,3
Brunei,rio-2016,0,0,0,1
Gabon,rio-2016,0,0,0,3
Sudan,rio-2016,0,0,0,2
Belize,rio-2016,0,0,0,1
Iceland,rio-2016,0,0,0,2
Burkina Faso,rio-2016,0,0,0,2
Mali,rio-2016,0,0,0,3
Afghanistan,rio-2016,0,0,0,1
Monaco,rio-2016,0,0,0,1
Guinea,rio-2016,0,0,0,2
Yemen,rio-2016,0,0,0,2
Niger,rio-2016,0,1,0,3
Gambia,rio-2016,0,0,0,2
Saint Vincent and the Grenadines,rio-2016,0,0,0,1
Liechtenstein,rio-2016,0,0,0,2
Maldives,rio-2016,0,0,0,1
Sierra Leone,rio-2016,0,0,0,1
Comoros,rio-2016,0,0,0,1
British Virgin Islands,rio-2016,0,0,0,1
Switzerland,sochi-2014,7,2,2,12
United States of America,sochi-2014,9,9,10,15
Latvia,sochi-2014,1,1,3,9
Canada,sochi-2014,10,10,5,14
Germany,sochi-2014,8,6,5,15
Italy,sochi-2014,0,2,6,13
Romania,sochi-2014,0,0,0,8
Republic of Korea,sochi-2014,3,3,2,13
Netherlands,sochi-2014,8,7,9,4
France,sochi-2014,4,4,7,12
Monaco,sochi-2014,0,0,0,2
Austria,sochi-2014,4,8,5,13
Great Britain,sochi-2014,1,1,3,10
Czech Republic,sochi-2014,2,4,2,13
Australia,sochi-2014,0,2,1,11
Poland,sochi-2014,4,1,1,11
Japan,sochi-2014,1,4,3,15
Jamaica,sochi-2014,0,0,0,1
Serbia,sochi-2014,0,0,0,5
Russian Federation,sochi-2014,11,9,9,15
Belgium,sochi-2014,0,0,0,5
Brazil,sochi-2014,0,0,0,6
Slovakia,sochi-2014,1,0,0,9
Norway,sochi-2014,11,5,10,12
Sweden,sochi-2014,2,7,6,9
Slovenia,sochi-2014,2,2,4,8
Kazakhstan,sochi-2014,0,0,1,10
Ukraine,sochi-2014,1,0,1,9
Lithuania,sochi-2014,0,0,0,5
Belarus,sochi-2014,5,0,1,5
Estonia,sochi-2014,0,0,0,6
Bulgaria,sochi-2014,0,0,0,6
People's Republic of China,sochi-2014,3,4,2,9
Finland,sochi-2014,1,3,1,9
Spain,sochi-2014,0,0,0,7
Andorra,sochi-2014,0,0,0,3
Hungary,sochi-2014,0,0,0,5
Bosnia and Herzegovina,sochi-2014,0,0,0,3
Republic of Moldova,sochi-2014,0,0,0,4
Argentina,sochi-2014,0,0,0,2
Iceland,sochi-2014,0,0,0,2
Liechtenstein,sochi-2014,0,0,0,2
Croatia,sochi-2014,0,1,0,3
Chile,sochi-2014,0,0,0,3
Denmark,sochi-2014,0,0,0,3
Greece,sochi-2014,0,0,0,4
Georgia,sochi-2014,0,0,0,2
Togo,sochi-2014,0,0,0,2
US Virgin Islands,sochi-2014,0,0,0,1
Peru,sochi-2014,0,0,0,2
Portugal,sochi-2014,0,0,0,1
Albania,sochi-2014,0,0,0,1
Morocco,sochi-2014,0,0,0,1
Turkey,sochi-2014,0,0,0,2
Uzbekistan,sochi-2014,0,0,0,2
Malta,sochi-2014,0,0,0,1
Thailand,sochi-2014,0,0,0,1
Ireland,sochi-2014,0,0,0,4
San Marino,sochi-2014,0,0,0,1
New Zealand,sochi-2014,0,0,0,5
Armenia,sochi-2014,0,0,0,2
Islamic Republic of Iran,sochi-2014,0,0,0,2
Azerbaijan,sochi-2014,0,0,0,2
Zimbabwe,sochi-2014,0,0,0,1
Kyrgyzstan,sochi-2014,0,0,0,1
Montenegro,sochi-2014,0,0,0,1
Cyprus,sochi-2014,0,0,0,1
Lebanon,sochi-2014,0,0,0,1
Pakistan,sochi-2014,0,0,0,1
India,sochi-2014,0,0,0,2
The Former Yugoslav Republic of Macedonia,sochi-2014,0,0,0,2
Cayman Islands,sochi-2014,0,0,0,1
Venezuela,sochi-2014,0,0,0,1
Israel,sochi-2014,0,0,0,3
Democratic Republic of Timor-Leste,sochi-2014,0,0,0,1
Mexico,sochi-2014,0,0,0,1
Tajikistan,sochi-2014,0,0,0,1
"Hong Kong, China",sochi-2014,0,0,0,1
Chinese Taipei,sochi-2014,0,0,0,3
Luxembourg,sochi-2014,0,0,0,1
Mongolia,sochi-2014,0,0,0,1
Bermuda,sochi-2014,0,0,0,1
Nepal,sochi-2014,0,0,0,1
Dominica,sochi-2014,0,0,0,1
Philippines,sochi-2014,0,0,0,1
Tonga,sochi-2014,0,0,0,1
Independent Olympic Athletes,sochi-2014,0,0,0,1
British Virgin Islands,sochi-2014,0,0,0,1
Paraguay,sochi-2014,0,0,0,1
United States of America,london-2012,46,28,30,38
Australia,london-2012,8,15,12,35
Japan,london-2012,7,14,17,35
Russian Federation,london-2012,20,19,28,35
Great Britain,london-2012,29,17,19,38
People's Republic of China,london-2012,38,31,22,33
Canada,london-2012,2,5,11,35
Czech Republic,london-2012,4,3,4,24
France,london-2012,11,11,13,35
Italy,london-2012,8,9,11,33
Zimbabwe,london-2012,0,0,0,4
Denmark,london-2012,2,4,3,18
Ukraine,london-2012,5,4,10,28
Spain,london-2012,4,10,4,31
Netherlands,london-2012,6,6,8,23
Germany,london-2012,11,20,13,33
Mexico,london-2012,1,3,4,24
Brazil,london-2012,3,5,9,33
Poland,london-2012,3,1,7,29
Singapore,london-2012,0,0,2,7
Colombia,london-2012,1,3,4,21
Belgium,london-2012,0,1,2,23
New Zealand,london-2012,6,2,5,21
Bulgaria,london-2012,0,2,1,18
Iceland,london-2012,0,0,0,6
Ireland,london-2012,1,1,4,17
Slovenia,london-2012,1,1,2,16
Sweden,london-2012,1,4,3,23
Croatia,london-2012,3,1,2,18
Hungary,london-2012,8,4,6,23
Kazakhstan,london-2012,3,1,7,20
"Hong Kong, China",london-2012,0,0,1,15
Turkey,london-2012,1,1,1,15
Honduras,london-2012,0,0,0,7
Andorra,london-2012,0,0,0,4
Uruguay,london-2012,0,0,0,7
Armenia,london-2012,0,1,1,8
Monaco,london-2012,0,0,0,6
South Africa,london-2012,4,1,1,21
Serbia,london-2012,1,1,2,15
Austria,london-2012,0,0,0,21
Kenya,london-2012,2,4,6,4
Papua New Guinea,london-2012,0,0,0,4
Republic of Korea,london-2012,13,9,8,26
Venezuela,london-2012,1,0,0,18
Portugal,london-2012,0,1,0,16
Switzerland,london-2012,2,2,0,22
Belarus,london-2012,2,5,3,24
Paraguay,london-2012,0,0,0,6
Azerbaijan,london-2012,2,2,6,14
Lithuania,london-2012,2,0,3,16
Greece,london-2012,0,0,2,23
Libya,london-2012,0,0,0,3
Iraq,london-2012,0,0,0,6
Bahrain,london-2012,1,0,0,3
Israel,london-2012,0,0,0,10
Uzbekistan,london-2012,0,0,2,13
Slovakia,london-2012,0,1,3,12
Chinese Taipei,london-2012,1,0,1,15
Finland,london-2012,0,2,1,13
Cuba,london-2012,5,3,7,15
Jamaica,london-2012,4,5,3,4
Morocco,london-2012,0,0,1,12
Saint Lucia,london-2012,0,0,0,3
Republic of Moldova,london-2012,0,0,0,9
Bosnia and Herzegovina,london-2012,0,0,0,4
Guam,london-2012,0,0,0,5
Fiji,london-2012,0,0,0,5
Mongolia,london-2012,0,2,3,7
Guinea,london-2012,0,0,0,2
Luxembourg,london-2012,0,0,0,7
Georgia,london-2012,1,2,3,11
Thailand,london-2012,0,2,2,14
Kyrgyzstan,london-2012,0,0,0,8
Madagascar,london-2012,0,0,0,5
Estonia,london-2012,0,1,1,11
Panama,london-2012,0,0,0,5
Romania,london-2012,2,5,2,15
Senegal,london-2012,0,0,0,8
Syrian Arab Republic,london-2012,0,0,0,7
Tonga,london-2012,0,0,0,2
United Arab Emirates,london-2012,0,0,0,5
Suriname,london-2012,0,0,0,2
Lebanon,london-2012,0,0,0,6
Norway,london-2012,2,1,1,16
